TOTAL;SECRETARIA;AGRUPAMENTO;SUBPREFEITURA;ADM REGIONAL;DRE;TIPO UNIDADE; ;CÓDIGO UNIDADE;NOME UNIDADE;ENDEREÇO;TELEFONE;CEP;BAIRRO;INICIO CONVENIO;FIM CONVENIO;TIPO ATENDIMENTO;INICIO DESATIVACAO;FIM DESATIVACAO;CODIGO EOL;INAUGURADO;INICIO TIPO ATENDIMENTO;FIM TIPO ATENDIMENTO
;;;;;;;;;;;;;;;;;;;;;;
1;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7708;CEI CONV. RECANTO DA ALEGRIA I;R. FRANCISCO REBOLO, 6;(11)37460905;5679060;JD. PANORAMA;01/01/2013;31/12/2017;DIRETA;;;306209;23/03/1999;;
2;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7709;CEI CONV. PAPA JOÃO  XXIII;R. DR. ERÍCIO ALVARES DE AZEVEDO GONZAGA, S/Nº;(11)37829406;5560030;JD. CAMBARÁ;08/12/2015;07/06/2018;DIRETA;;;400413;23/03/1999;;
3;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7711;CEI CONV. RECANTO DA ALEGRIA III;R. DOMINGOS DE ABREU, 715;(11)37615322;5387070;VL. DALVA;01/01/2013;31/12/2017;DIRETA;;;400415;24/03/1999;;
4;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7712;CEI CONV. NOITE ENCANTADA VII;R. NAZIR MIGUEL, 270;(11)37846679;5570030;JD. PAULO VI;01/01/2013;17/01/2019;DIRETA;;;400412;23/03/1999;;
5;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7722;CEI CONV.  DO INST. DNA. ANA  ROSA;R. CANIO RIZZO, 100;(11)37461708;5519090;VL. SONIA;01/01/2013;31/12/2017;DIRETA;;;306196;23/03/1999;;
6;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7728;CEI CONV. ASA LAR INFANTIL;R. OSCAR PINHEIRO COELHO, 309;(11)23868750;5516050;BUTANTÃ;01/01/2013;31/12/2017;DIRETA;;;306199;23/03/1999;;
7;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7734;CEI CONV. PRIMAVERA- LIGA DAS SRAS. CATÓLICAS;AV.  ENG. HEITOR ANTONIO EIRAS GARCIA, 5985;(11)37814933;5564200;JD. EDUCANDÁRIO;01/01/2013;31/12/2017;DIRETA;;;306207;23/03/1999;;
8;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7736;CEI CONV. DOM EMILIO PIGNOLI;R. LUISA CRAPSI ORSI, 15;(11)51487437;5543000;VILA ALBANO;29/04/2012;28/04/2017;DIRETA;;;306211;25/03/1999;;
9;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;7738;CEI CONV. SÃO FRANCISCO;R. JOÃO MILAN, 132;(11)34764167;5373080;JD. ESTER;01/01/2013;31/12/2017;DIRETA;;;306215;24/03/1999;;
10;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;11195;CEI CONV. SÃO FRANCISCO DE ASSIS;R. ANIS CHACKUR, 175;(11)37511408;5528110;JD. ALVORADA;29/04/2012;28/04/2017;DIRETA;;;306798;30/05/2007;;
11;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;9717;CEI CONV. GIRASSOL;R. JOÃO AVELINO PINHO MELÃO, 29;(11)37430799;5659010;JD. COLOMBO;28/01/2013;23/01/2018;DIRETA;;;306496;17/02/2003;;
12;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;9581;CEI CONV. BELEZINHA PRIMAVERA;R. DOM VALENTIM, 69;;5629040;JARDIM COLOMBO;20/06/2016;19/12/2018;DIRETA;;;306507;06/05/2002;;
13;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;9630;CEI CONV. N. SRA. DE FÁTIMA;AV. MONS. MANFREDO LEITE, 279;(11)37510678;5526030;JD. JUSSARA;01/01/2013;31/12/2017;DIRETA;;;400470;02/09/2002;;
14;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;9391;CEI CONV. N. SRA. DA ASSUNÇÃO;R. DR. JOSÉ PINTO DE AZEREDO, 48;(11)37337013;5359100;VL. UNIVERSITÁRIA;23/11/2015;22/05/2018;DIRETA;;;400332;21/02/2002;;
15;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;9224;CEI CONV. CHB.  EDUCANDÁRIO;R. JOSÉ PORFIRIO DE SOUZA, S/N;(11)37816945;5563090;JD. RAP. TAVARES;01/01/2013;31/12/2017;DIRETA;;;400414;28/12/2007;;
16;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;9110;CEI CONV. RECANTO DA ALEGRIA II; TRAV. ANTONIO AUGUSTO MONTEIRO DE BARROS NETO, 70;(11)37581681;5685030; REAL PARQUE;01/01/2013;31/12/2017;DIRETA;;;306210;23/03/1999;;
17;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;8665;CEI CONV. SÃO LUIS GONZAGA;R. GERTRUDES CUNHA, 30;(11)37191955;5374050;JD. ESTER YOLANDA;01/01/2013;31/12/2017;DIRETA;;;400416;28/12/2007;;
18;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;8529;CEI CONV. ISABEL RIBEIRO;R. EUSÉBIO DA COSTA BRAGA, 66;(11)37441245 (11)37430680;5632060;JD. MONTE KEMEL;01/01/2013;31/12/2017;DIRETA;;;400460;28/12/2007;;
19;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13094;CEI CONV. SABER VIVER II;AV. BENEDITO DE LIMA, 133;(11)37145992;5376020;RIO PEQUENO;01/07/2016;31/12/2018;DIRETA;;;308231;15/05/2015;;
20;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;13054;CEI CONV. SABER VIVER I;R. FRANCISCO ALBANE, 6;(11)37514665;5529110;JD. JAQUELINE;01/07/2016;31/12/2018;DIRETA;;;308144;09/02/2015;;
21;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12913;CEI CONV. RECANTO DA ALEGRIA IV;AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 3270;(11)37313385;5564100;JD. DAS ESMERALDAS;19/09/2013;12/01/2018;DIRETA;;;307992;08/05/2014;;
22;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12833;CEI CONV. JARDIM EDITE;R: CHARLES COULOMB, 30;(11)55053015 (11)55053016;4576030;CIDADE DAS MONÇÕES;17/05/2013;25/01/2018;DIRETA;;;400783;17/06/2013;;
23;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12713;CEI CONV. CASA DA INFÂNCIA MENINO JESUS;RUA ABÍLIO BARBOSA LIMA, 52;(11)22732015 (11)20699081;5374020;JD. ESTER YOLANDA;01/02/2015;31/07/2017;DIRETA;;;307815;05/10/2012;;
24;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12714;CEI CONV. SANTA ROSA;AV. GENERAL ASDRUBAL DA CUNHA, 1550;(11)37835993 (11)37519431;5565000;JARDIM ARPOADOR;14/08/2012;13/08/2017;DIRETA;;;307821;05/10/2012;;
25;SME            ;1;BUTANTÃ             ;BT;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;11;CEI CONVENIADO      ;12394;CEI CONV. MARIA TEREZA DE MACEDO COSTA;R. NOBRE VIEIRA, 100;(11)37210543;5587180;JD RIZZO;19/02/2015;18/08/2017;DIRETA;;;306562;08/03/2010;;
